,nb_proc,prop_proc,nb_wf
29,1.0,0.018601190476190476,82.0
28,1.0,0.018601190476190476,73.0
27,1.0,0.018601190476190476,57.0
26,3.0,0.055803571428571425,51.0
25,1.0,0.018601190476190476,46.0
24,1.0,0.018601190476190476,44.0
23,1.0,0.018601190476190476,41.0
22,2.0,0.03720238095238095,40.0
21,1.0,0.018601190476190476,29.0
20,2.0,0.03720238095238095,27.0
19,1.0,0.018601190476190476,26.0
18,1.0,0.018601190476190476,22.0
17,1.0,0.018601190476190476,21.0
16,2.0,0.03720238095238095,19.0
15,5.0,0.09300595238095237,18.0
14,3.0,0.055803571428571425,17.0
13,3.0,0.055803571428571425,16.0
12,6.0,0.11160714285714285,15.0
11,1.0,0.018601190476190476,14.0
10,2.0,0.03720238095238095,13.0
9,4.0,0.0744047619047619,10.0
8,3.0,0.055803571428571425,9.0
7,8.0,0.1488095238095238,8.0
6,9.0,0.16741071428571427,7.0
5,8.0,0.1488095238095238,6.0
4,11.0,0.20461309523809526,5.0
3,16.0,0.2976190476190476,4.0
2,27.0,0.5022321428571429,3.0
1,71.0,1.3206845238095237,2.0
0,209.0,3.8876488095238098,1.0
