,nb_proc,prop_proc,nb_wf
13,1.0,0.01847063169560399,79.0
7,1.0,0.01847063169560399,35.0
15,1.0,0.01847063169560399,29.0
14,1.0,0.01847063169560399,24.0
12,1.0,0.01847063169560399,14.0
11,2.0,0.03694126339120798,12.0
9,3.0,0.05541189508681198,10.0
8,5.0,0.09235315847801995,9.0
10,2.0,0.03694126339120798,8.0
6,7.0,0.12929442186922793,7.0
5,14.0,0.25858884373845586,6.0
4,13.0,0.24011821204285186,5.0
3,39.0,0.7203546361285557,4.0
2,117.0,2.161063908385667,3.0
1,401.0,7.406723309937199,2.0
0,4384.0,80.97524935352789,1.0
