,nb_proc,prop_proc,nb_wf
34,1.0,0.018601190476190476,82.0
33,1.0,0.018601190476190476,79.0
32,1.0,0.018601190476190476,73.0
31,1.0,0.018601190476190476,57.0
30,3.0,0.055803571428571425,51.0
29,1.0,0.018601190476190476,46.0
28,1.0,0.018601190476190476,44.0
27,1.0,0.018601190476190476,41.0
26,2.0,0.03720238095238095,40.0
25,1.0,0.018601190476190476,36.0
24,2.0,0.03720238095238095,29.0
23,2.0,0.03720238095238095,27.0
22,1.0,0.018601190476190476,26.0
21,1.0,0.018601190476190476,24.0
20,1.0,0.018601190476190476,22.0
19,1.0,0.018601190476190476,21.0
18,2.0,0.03720238095238095,19.0
17,5.0,0.09300595238095237,18.0
16,3.0,0.055803571428571425,17.0
15,3.0,0.055803571428571425,16.0
14,6.0,0.11160714285714285,15.0
13,2.0,0.03720238095238095,14.0
12,3.0,0.055803571428571425,13.0
11,1.0,0.018601190476190476,12.0
10,8.0,0.1488095238095238,10.0
9,6.0,0.11160714285714285,9.0
8,10.0,0.18601190476190474,8.0
7,14.0,0.26041666666666663,7.0
6,23.0,0.427827380952381,6.0
5,24.0,0.4464285714285714,5.0
4,53.0,0.9858630952380952,4.0
3,140.0,2.604166666666667,3.0
2,466.0,8.668154761904761,2.0
1,4585.0,85.28645833333334,1.0
0,1.0,0.018601190476190476,0.0
