,nb_proc,prop_proc,nb_wf
24,1.0,0.030358227079538558,112.0
23,1.0,0.030358227079538558,89.0
22,1.0,0.030358227079538558,53.0
21,1.0,0.030358227079538558,29.0
20,2.0,0.060716454159077116,27.0
19,1.0,0.030358227079538558,24.0
18,2.0,0.060716454159077116,23.0
17,4.0,0.12143290831815423,22.0
16,1.0,0.030358227079538558,21.0
15,2.0,0.060716454159077116,17.0
14,3.0,0.09107468123861566,15.0
13,3.0,0.09107468123861566,14.0
12,3.0,0.09107468123861566,13.0
11,2.0,0.060716454159077116,12.0
10,6.0,0.18214936247723132,11.0
9,5.0,0.15179113539769276,10.0
8,5.0,0.15179113539769276,9.0
7,11.0,0.33394049787492414,8.0
6,14.0,0.42501517911353975,7.0
5,29.0,0.8803885853066181,6.0
4,28.0,0.8500303582270795,5.0
3,66.0,2.0036429872495445,4.0
2,131.0,3.976927747419551,3.0
1,449.0,13.63084395871281,2.0
0,2523.0,76.59380692167578,1.0
